uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
201408392H,ACRA,QUOTE EXPRESS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-03-24,2014-03-24,LOCAL,308B,ANCHORVALE ROAD,03,80,ANCHORVALE PLACE,542308,na,na,2015-10-25,na,95303,FACILITATOR FOR CAR QUOTES AND CAR INSURANCE AND TAX RENEWALS,na,na,FACILITATOR FOR CAR QUOTES AND CAR INSURANCE AND TAX RENEWALS,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201408791R,ACRA,Q MEDICAL CLINIC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-03-27,2014-03-27,LOCAL,14,ROBINSON ROAD,08,01A,FAR EAST FINANCE BUILDING,048545,na,na,2015-12-27,na,86201,na,na,na,na,na,10,QURE MEDICAL CLINIC,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201408819R,ACRA,QIV STORAGE PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,2014-03-27,2014-03-27,LOCAL,100,NANYANG CRESCENT,11,04,NANYANG MEADOWS,637819,na,na,2018-12-23,2017-08-28,62021,na,na,na,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409006K,ACRA,QUANTANA PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Struck Off,2014-03-28,2014-03-28,LOCAL,8,EU TONG SEN STREET,18,81,THE CENTRAL,059818,na,na,2019-09-30,2019-07-17,62021,SOFTWARE DEVELOPMENT,na,na,SOFTWARE DEVELOPMENT,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409054M,ACRA,QILE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-03-28,2014-03-28,LOCAL,81,WEST COAST CRESCENT,22,06,THE VISION,126794,na,na,2025-07-31,2024-07-30,56200,na,na,47219,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409226E,ACRA,QX GLOBAL PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2014-03-31,2014-03-31,LOCAL,10,ANSON ROAD,10,20,INTERNATIONAL PLAZA,079903,na,na,2016-06-25,2015-02-25,46900,na,na,46100,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409421Z,ACRA,QUANTEQ SOLUTIONS (S) PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-01,2014-04-01,LOCAL,21,BUKIT BATOK CRESCENT,05,73,WCEGA TOWER,658065,na,na,2026-07-31,2025-06-12,46900,TRADING AND CONSULTANCY FOR TECHNICAL PRODUCTS,na,70201,TRADING AND CONSULTANCY FOR TECHNICAL PRODUCTS,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409502Z,ACRA,QIAN XIANG CONSTRUCTION ENTERPRISE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-01,2014-04-01,LOCAL,10,JALAN SUKA,na,na,na,399430,na,na,2025-07-31,2024-06-11,41001,na,na,43909,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409503K,ACRA,Q DIMENSIONS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-01,2014-04-01,LOCAL,55,UBI AVENUE 3,01,04,na,408864,na,na,2025-07-31,2024-07-05,62090,DISTRIBUTIOR OF IT PRODUCTS & HOME AUTOMATION SERVICES,na,43293,DISTRIBUTIOR OF IT PRODUCTS & HOME AUTOMATION SERVICES,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
201409712C,ACRA,QUARDER PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2014-04-03,2014-04-03,LOCAL,137,TELOK AYER STREET,08,01,na,068602,na,na,2025-07-31,2024-08-19,64202,na,na,46900,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
