uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
00197000C,ACRA,QUEK TECK HUA,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-10-01,1974-10-01,LOCAL,53,BENCOOLEN STREET,na,na,na,189632,na,na,na,na,47102,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
00460600X,ACRA,QING QING HAIRDRESSING & BEAUTY SALOON,Sole Proprietorship/ Partnership,Partnership,na,na,Live,1974-10-11,1974-10-11,LOCAL,237,SERANGOON AVENUE 3,01,128,na,550237,na,na,na,na,96021,na,na,47109,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
00485200A,ACRA,QUEE LIM TONG,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-10-16,1974-10-16,LOCAL,260,KALLANG ROAD,na,na,na,1233,na,na,na,na,47723,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
00659100X,ACRA,QUEK THONG HUAT,Sole Proprietorship/ Partnership,Partnership,na,na,Live,1974-10-29,1974-10-29,LOCAL,105,SIMS AVENUE,07,11,CHANCERLODGE COMPLEX,387429,na,na,na,na,82999,WT OF RELIGIOUS PRODUCTS AND GIFTWARES,na,46900,WT OF RELIGIOUS PRODUCTS AND GIFTWARES,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
01664800E,ACRA,QUEEN'S PERMANENT WAVING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-10-22,1974-10-22,LOCAL,688,GEYLANG ROAD,na,na,na,389610,na,na,na,na,88919,na,na,96021,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
01731300K,ACRA,QUEK HOCK HENG WINE TRADER,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-11-14,1974-11-14,LOCAL,5,EUNOS CRESCENT,01,2619,na,400005,na,na,na,na,47102,na,na,47212,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
01914400L,ACRA,QUEEN'S PHOTO CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1974-11-22,1974-11-22,LOCAL,1,COLEMAN STREET,02,40,THE ADELPHI,179803,na,na,na,na,46491,"RETAIL CALCULATORS, TYPEWRITERS & OFFICE EQUIPMENTS",na,47411,"RETAIL CALCULATORS, TYPEWRITERS & OFFICE EQUIPMENTS",na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
02637500A,ACRA,QUEK KANG LIM,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-11-27,1974-11-27,LOCAL,6014,ANG MO KIO INDUSTRIAL PARK 3,01,316,na,569466,na,na,na,na,41009,na,na,na,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
02964200X,ACRA,QUAI KEE PHOTO-ENGRAVER ELECTRO-PLATER,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-11-12,1974-11-12,LOCAL,5,TOA PAYOH INDUSTRIAL PARK,01,1291,TOA PAYOH INDUSTRIAL PARK,319057,na,na,na,na,18129,"PRINTING, PUBLISHING & ALLIED INDUSTRIES NEC",na,58190,"PRINTING, PUBLISHING & ALLIED INDUSTRIES NEC",na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
03025500K,ACRA,QUEK CHEOK SIANG TERRAZZO WORKS,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-12-13,1974-12-13,LOCAL,26,METROPOLE DRIVE,na,na,OPERA ESTATE,456703,na,na,na,na,42901,na,na,43901,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
03379100K,ACRA,QUEEN'S MEDICAL STORE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1974-12-16,1974-12-16,LOCAL,671,GEYLANG ROAD,na,na,na,389598,na,na,na,na,47722,RETAIL SPECIFIC COMMODITIES NEC (EG. JUTE BAGS),na,47714,RETAIL SPECIFIC COMMODITIES NEC (EG. JUTE BAGS),na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
03763700B,ACRA,QUEENSTOWN BEAUTY PARLOUR,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-12-21,1974-12-21,LOCAL,5,na,na,na,na,0314,na,na,na,na,96021,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
04011300X,ACRA,QUEEN'S FLOWER SHOP,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-12-09,1974-12-09,LOCAL,11,GROVE DRIVE,na,na,HENRY PARK,279052,na,na,na,na,47743,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
04135900C,ACRA,QUEENSTOWN CLINIC,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-12-19,1974-12-19,LOCAL,29,HAVELOCK ROAD,01,633,na,160029,na,na,na,na,86203,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
04783100J,ACRA,QUEE TAI RESTAURANT,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1974-10-01,1974-10-01,LOCAL,16,UPPER SERANGOON ROAD,na,na,SENNETT ESTATE,347628,na,na,na,na,68104,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
05137400E,ACRA,QUEENSTOWN SPORT COMPLEX CANTEEN,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-01-21,1975-01-21,LOCAL,473,STIRLING ROAD,na,na,QUEENSTOWN SWIMMING COMPLEX,148948,na,na,na,na,56122,na,na,68104,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
05219700W,ACRA,QUAK BROTHERS PROVISION STORE,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,1975-04-25,1975-04-25,LOCAL,10,ANSON ROAD,27,18,INTERNATIONAL PLAZA,079903,na,na,na,na,46305,na,na,na,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
05553700J,ACRA,QUAH'S SEA LAND TRANSPORT COMPANY,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-03-03,1975-03-03,LOCAL,531,UPPER CROSS STREET,03,54,HONG LIM COMPLEX,050531,na,na,na,na,49231,na,na,78102,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
05599700K,ACRA,QUAN JI PROVISION SHOP,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,1975-02-24,1975-02-24,LOCAL,105,HOUGANG AVENUE 1,01,117,na,530105,na,na,na,na,47102,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
05689400K,ACRA,QUEK SENG HENG,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-02-01,1975-02-01,LOCAL,1340,UPPER SERANGOON ROAD,na,na,na,1953,na,na,na,na,47102,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
06300400C,ACRA,QUEENSTOWN IMAY STUDIO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-04-03,1975-04-03,LOCAL,14,MARGARET DRIVE,01,335,na,0314,na,na,na,na,96021,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
06306900L,ACRA,QUEENSTOWN BOOK CENTRE,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-03-01,1975-03-01,LOCAL,46-2,COMMONWEALTH DRIVE,01,368,na,140462,na,na,na,na,47610,"RETAIL BOOKS, MAGAZINES & STATIONERY",na,na,"RETAIL BOOKS, MAGAZINES & STATIONERY",na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
06663200E,ACRA,QIONG JI TEOCHEW COOKED FOOD,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-03-20,1975-03-20,LOCAL,32,NEW MARKET ROAD,01,1144,na,050032,na,na,na,na,56140,na,na,na,na,na,3,KENG KEE CAFE,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07075900J,ACRA,QUEK HOCK SENG CONTRACTOR & CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1975-04-05,1975-04-05,LOCAL,721,CLEMENTI WEST STREET 2,01,114,na,120721,na,na,na,na,41009,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07353900K,ACRA,QUEK AIR CONDITIONER CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1974-10-23,1974-10-23,LOCAL,22,HARVEY AVENUE,na,na,na,489496,na,na,na,na,43210,na,na,95220,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07374600B,ACRA,QUEENSTOWN CURTAIN,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-04-18,1975-04-18,LOCAL,42,ST. JOHN'S ROAD,na,na,na,2775,na,na,na,na,14103,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07504300M,ACRA,QUEENSTOWN FURNITURE & ELECTRICAL,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-04-28,1975-04-28,LOCAL,6C,MARGARET DRIVE,01,76,na,142006,na,na,na,na,47531,na,na,47712,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07508200D,ACRA,QUEENSTOWN OPTICAL PHOTO & WATCH CENTRE,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-05-02,1975-05-02,LOCAL,6C,MARGARET DRIVE,01,34,na,142006,na,na,na,na,47751,na,na,47752,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07512900X,ACRA,QUEK ENG WAH,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-04-14,1975-04-14,LOCAL,3014,UBI ROAD 1,01,298,KAMPONG UBI INDUSTRIAL ESTATE,408702,na,na,na,na,46610,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07866100E,ACRA,QUEK KENG SUA CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1975-05-20,1975-05-20,LOCAL,5001,BEACH ROAD,06,48,na,199588,na,na,na,na,46900,na,na,70102,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08068000C,ACRA,QUEEN BEE GARMENT CO,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-05-14,1975-05-14,LOCAL,10E,LORONG 12 GEYLANG,na,na,na,398991,na,na,na,na,15110,na,na,47711,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08102500M,ACRA,QUEE MOTOR WORKS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-05-17,1975-05-17,LOCAL,14,SIN MING DRIVE,01,17,na,2057,na,na,na,na,95301,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08225900C,ACRA,QUINTOLUCK WATCH DEALER,Sole Proprietorship/ Partnership,Partnership,na,na,Ceased Registration,1975-05-20,1975-05-20,LOCAL,3,COLEMAN STREET,02,38,PENINSULA SHOPPING COMPLEX,179804,na,na,na,na,47733,RETAIL SPECIFIC COMMODITIES NEC (EG. JUTE BAGS),na,47714,RETAIL SPECIFIC COMMODITIES NEC (EG. JUTE BAGS),na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08247600D,ACRA,QUEEN'S BOUTIQUE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-05-31,1975-05-31,LOCAL,531,UPPER CROSS STREET,02,65,HONG LIM COMPLEX,050531,na,na,na,na,47749,na,na,47101,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08424700B,ACRA,QUEENSTOWN SEAFOOD RESTAURANT,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1974-11-28,1974-11-28,LOCAL,40A,COMMONWEALTH AVENUE,02,512,na,140040,na,na,na,na,56111,na,na,56112,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08674300K,ACRA,QUEK SWEE SENG CO,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-06-02,1975-06-02,LOCAL,802,FRENCH ROAD,01,51,na,200802,na,na,na,na,47713,GENERAL MERCHANDISE & SUNDRY SHOPS,na,47109,GENERAL MERCHANDISE & SUNDRY SHOPS,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08695800C,ACRA,QUEE HOCK CHOON CO,Sole Proprietorship/ Partnership,Partnership,na,na,Ceased Registration,1975-06-17,1975-06-17,LOCAL,5057,ANG MO KIO INDUSTRIAL PARK 2,01,1199,ANG MO KIO INDUSTRIAL PARK 2,569560,na,na,na,na,27104,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
08851800X,ACRA,QUAN YING SAU,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1975-06-23,1975-06-23,LOCAL,17,JALAN LANJUT,na,na,SEMBAWANG HILLS ESTATE,577660,na,na,na,na,74905,na,na,42909,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09177300L,ACRA,QUEK KENG SIONG ENGINEERING COMPANY,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1975-06-03,1975-06-03,LOCAL,35,TUAS ROAD,na,na,na,638496,na,na,na,na,28300,na,na,49231,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09195100C,ACRA,QUALICRAFT INTERNATIONAL,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-06-30,1975-06-30,LOCAL,6,MARINE PARADE ROAD,na,na,na,1544,na,na,na,na,46412,na,na,46411,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09329700M,ACRA,QUEK SIN HOE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-06-06,1975-06-06,LOCAL,431,UPPER CHANGI ROAD,na,na,na,486949,na,na,na,na,47312,na,na,47535,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09330800X,ACRA,QUELEE ENTERPRISE & CO,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Ceased Registration,1975-06-06,1975-06-06,LOCAL,90,LORONG 23 GEYLANG,06,00,AGROW BUILDING,388393,na,na,na,na,70102,na,na,46100,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09400100J,ACRA,QUEK SOK HEE GENERAL CONTRACTOR,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-06-14,1975-06-14,LOCAL,10,JALAN BESAR,10,01,SIM LIM TOWER,208787,na,na,na,na,42901,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09551100L,ACRA,QUANTS ASSOCIATES,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Live,1975-06-28,1975-06-28,LOCAL,165,BUKIT MERAH CENTRAL,07,3667,na,150165,na,na,na,na,71113,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09715200E,ACRA,QUEK KWONG HONG AQUARIUM,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1975-07-05,1975-07-05,LOCAL,391E,UPPER PAYA LEBAR ROAD,na,na,na,1953,na,na,na,na,46444,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
09750300B,ACRA,QUALITY SPORTS,Sole Proprietorship/ Partnership,Partnership,na,na,Terminated,1975-10-16,1975-10-16,LOCAL,1,SOPHIA ROAD,01,36,ONE SOPHIA,228149,na,na,na,na,46549,na,na,70102,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10085200M,ACRA,QUAH KENG KOOI RADIO AND TV SERVICE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-07-02,1975-07-02,LOCAL,74,AUCKLAND ROAD WEST,na,na,na,759869,na,na,na,na,95210,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10117300L,ACRA,QUEK HUA SEK,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-07-11,1975-07-11,LOCAL,28,SOMAPAH ROAD,na,na,na,1648,na,na,na,na,47102,na,na,47212,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10197700W,ACRA,QUEEN DRESSMAKER,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-07-17,1975-07-17,LOCAL,5,KOEK ROAD,04,24,CUPPAGE PLAZA,228796,na,na,na,na,14103,na,na,47711,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10201800J,ACRA,QUEK CHUAN CHWEE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-07-11,1975-07-11,LOCAL,101B,PUNGGOL ROAD,na,na,na,1954,na,na,na,na,47102,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10223700W,ACRA,Q S PARTNERSHIP,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled (Non-Renewal),1975-07-16,1975-07-16,LOCAL,5001,BEACH ROAD,07,40,na,199588,na,na,na,na,71129,na,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10290900L,ACRA,QUEK HWA HENG ENGINEERING WORKS,Sole Proprietorship/ Partnership,Partnership,na,na,Live,1975-08-14,1975-08-14,LOCAL,60,JALAN LAM HUAT,04,70,CARROS CENTRE,737869,na,na,na,na,95301,na,na,28300,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10447000C,ACRA,QUEEN'S BOOK TRADING,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-07-26,1975-07-26,LOCAL,15C,MAYO STREET,na,na,na,208312,na,na,na,na,47610,"RETAIL BOOKS, MAGAZINES & STATIONERY",na,na,"RETAIL BOOKS, MAGAZINES & STATIONERY",na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10858500W,ACRA,QUICKSILVER AND COMPANY,Sole Proprietorship/ Partnership,Partnership,na,na,Cancelled,1975-08-20,1975-08-20,LOCAL,101,COWDRAY AVENUE,na,na,SERANGOON GARDEN ESTATE,558102,na,na,na,na,86909,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10937400B,ACRA,QUEST INTERIOR CENTRE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Cancelled,1975-09-29,1975-09-29,LOCAL,43,MOH GUAN TERRACE,03,26,na,160043,na,na,na,na,74905,na,na,73100,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
193400034G,ACRA,QUEK SHIN & SONS PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Live Company,1934-11-21,1934-11-21,LOCAL,138,CECIL STREET,12,01A,CECIL COURT,069538,na,na,2025-07-31,2024-07-23,96099,CULTIVATION OF OIL PALM,na,na,CULTIVATION OF OIL PALM,na,46,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
194100006E,ACRA,QUEK HOCK SENG AND COMPANY PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1941-03-05,1941-03-05,LOCAL,3791,JALAN BUKIT MERAH,08,12,E-CENTRE @ REDHILL,159471,na,na,2020-07-31,2019-07-27,46308,na,na,46307,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
194700007W,ACRA,QUEK KOH CHAY & SONS PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1947-01-10,1947-01-10,LOCAL,3791,JALAN BUKIT MERAH,08,12,E-CENTRE @ REDHILL,159471,na,na,2012-12-01,2011-10-31,64201,HOLDING COMPANIES,na,68201,HOLDING COMPANIES,na,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
194700008H,ACRA,QUEK KOH CHAY REALTY CO. PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1947-01-10,1947-01-10,LOCAL,170,STIRLING ROAD,01,1125,STIRLING VIEW,140170,na,na,2001-12-04,2001-06-30,68201,HOLDING COMPANIES,na,64201,HOLDING COMPANIES,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
194700099N,ACRA,"QUARY PROPERTIES, LTD.",Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1947-06-27,1947-06-27,LOCAL,11A,COLLYER QUAY,na,na,na,0104,na,na,na,na,96099,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195300076G,ACRA,QALAM PRESS LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1953-07-18,1953-07-18,LOCAL,356-358,GEYLANG ROAD,na,na,na,1438,na,na,na,na,58131,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195400133C,ACRA,QUEEN'S TOWN MOTOR SERVICE LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1954-11-01,1954-11-01,LOCAL,295,ALEXANDRA ROAD,na,na,na,0315,na,na,na,na,95301,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195600014Z,ACRA,QUEK SENG GUAN PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1956-02-03,1956-02-03,LOCAL,170,STIRLING ROAD,01,1125,STIRLING VIEW,140170,na,na,2006-10-31,2005-08-25,64201,HOLDING COMPANIES,na,68101,HOLDING COMPANIES,na,15,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195700119M,ACRA,QUEENS PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Live Company,1957-08-09,1957-08-09,LOCAL,16,RAFFLES QUAY,25,00,HONG LEONG BUILDING,048581,na,na,2025-07-31,2024-07-22,64202,INVESTMENT HOLDING. COMPANY REMAINED INACTIVE DURING THE FINANCIAL YEAR.,na,na,INVESTMENT HOLDING. COMPANY REMAINED INACTIVE DURING THE FINANCIAL YEAR.,na,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195800035D,ACRA,QAF LIMITED,Local Company,na,Public Company Limited by Shares,na,Live Company,1958-03-03,1958-03-03,LOCAL,150,SOUTH BRIDGE ROAD,09,03,FOOK HAI BUILDING,058727,na,na,2026-05-31,2025-05-08,64202,INVESTMENT HOLDING AND MANAGEMENT COMPANY,na,na,INVESTMENT HOLDING AND MANAGEMENT COMPANY,na,61,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195800088Z,ACRA,QUEK SENG MUAY & SONS PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,1958-06-24,1958-06-24,LOCAL,506,SERANGOON NORTH AVENUE 4,08,440,na,550506,na,na,1986-10-23,2017-03-24,64201,HOLDING COMPANIES,na,68101,HOLDING COMPANIES,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
195900193R,ACRA,QUAH HIANG SOO COMPANY PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1959-12-28,1959-12-28,LOCAL,27,CANTONMENT ROAD,na,na,na,089745,na,na,2008-11-03,2007-07-23,68103,na,na,na,na,na,25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
196300141N,ACRA,QURESHI'S CARPETS PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,1963-05-31,1963-05-31,LOCAL,176,ORCHARD ROAD,05,12,THE CENTREPOINT,238843,na,na,2026-07-31,2025-05-02,46900,WHOLESALE AND RETAIL SALE OF CARPETS,na,95240,WHOLESALE AND RETAIL SALE OF CARPETS,na,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
