uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
01105700M,ACRA,XIN QIGONG CHINESE PHYSICIAN MEDICAL HALL,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1974-10-19,1974-10-19,LOCAL,75,JALAN SULTAN,na,na,na,198987,na,na,na,na,21022,MANUF MEDICINAL & PHARMACEUTICAL PRODS,na,47723,MANUF MEDICINAL & PHARMACEUTICAL PRODS,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
07281600K,ACRA,XIANG GELOU HAIRDRESSING & BEAUTY SALON (UNISEX),Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-04-14,1975-04-14,LOCAL,280,TAMPINES STREET 22,01,246,na,520280,na,na,na,na,96021,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
10376000L,ACRA,XCELWEAVE ENTERPRISE,Sole Proprietorship/ Partnership,Sole-Proprietor,na,na,Terminated,1975-08-11,1975-08-11,LOCAL,10A,NORTH BRIDGE ROAD,na,na,na,0617,na,na,na,na,14101,MANUF SHIRTS & OTHER OUTER GARMENTS,na,46412,MANUF SHIRTS & OTHER OUTER GARMENTS,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
196400008H,ACRA,XINXIE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1964-01-02,1964-01-02,LOCAL,30,JURONG PORT ROAD,TWA,3,JALAN BUROH WAREHOUSE COMPLEX,619103,na,na,2013-01-31,2011-10-03,46900,na,na,70201,na,na,12,HIAP HUAT METAL & ENGINEERING,MALAYSIA MOSQUITO SPIRAL MANUF ACTURING COMPANY PRIAVTE,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
196800126C,ACRA,XEPA HOLDINGS PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Live Company,1968-04-08,1968-04-08,LOCAL,4,LOYANG WAY 1,na,na,na,508708,na,na,2026-07-31,2025-06-20,64201,HOLDING COMPANIES,na,na,HOLDING COMPANIES,na,14,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197201427R,ACRA,XIN ZHANG JIANG RESTAURANT PTE LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,1972-10-14,1972-10-14,LOCAL,809,FRENCH ROAD,05,168,KITCHENER COMPLEX,200809,na,na,2026-03-31,2024-11-17,56111,na,na,10712,na,na,23,PRINCESS GARDEN RESTAURANT (PT E),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197402118N,ACRA,XFELD PTE LTD,Local Company,na,Private Company Limited by Shares,na,Struck Off,1974-12-02,1974-12-02,LOCAL,43B,PATERSON ROAD,na,na,na,238529,na,na,1997-08-26,1996-04-26,81211,SALES & SERVICES OF COMMUNICATION EQUIPMENT & OTHER EQUIPMENT,na,na,SALES & SERVICES OF COMMUNICATION EQUIPMENT & OTHER EQUIPMENT,na,12,TRANSCONTINENTAL TRADING,COMCO,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197601326E,ACRA,X-RAY CLINIC PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1976-06-28,1976-06-28,LOCAL,19,TANGLIN ROAD,06,54,TANGLIN SHOPPING CENTRE,247909,na,na,2007-07-21,2006-03-23,86203,na,na,na,na,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197802926R,ACRA,XIN-DE CONSTRUCTION & ENGINEERING PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1978-11-15,1978-11-15,LOCAL,15,QUEEN STREET,03,06,TAN CHONG TOWER,188537,na,na,1998-10-25,1997-06-24,41009,na,na,68201,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197803346K,ACRA,XJA PTE LTD,Local Company,na,Private Company Limited by Shares,na,Struck Off,1978-12-23,1978-12-23,LOCAL,4,TUAS DRIVE 2,na,na,na,638638,na,na,2003-01-31,2001-11-30,25139,MANUF OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY & EQUIPMENT NEC,na,25932,MANUF OF FABRICATED METAL PRODUCTS EXCEPT MACHINERY & EQUIPMENT NEC,na,16,JURALCO ASIA,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197902224R,ACRA,XPLO-TECH INTERNATIONAL (APPLI ED EXPLOSIVES) PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1979-07-26,1979-07-26,LOCAL,50,JALAN SULTAN,21,02,na,198974,na,na,1991-08-28,na,20234,MANUF CHEMICAL PRODS NEC (EG. DISINFECTANTS),na,na,MANUF CHEMICAL PRODS NEC (EG. DISINFECTANTS),na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197902759C,ACRA,XIN HUA ENTERPRISE PTE LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,1979-09-15,1979-09-15,LOCAL,48,PANDAN ROAD,na,na,POH TIONG CHOON LOGISTICS HUB,609289,na,na,2026-07-31,2025-04-07,46900,na,na,na,na,na,18,PAC DESIGNERS AND DECORATORS P TE.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
197903940R,ACRA,XYLESTATE PRIVATE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1979-12-26,1979-12-26,LOCAL,101,CECIL STREET,16,05,TONG ENG BUILDING,069533,na,na,1999-10-31,1998-06-30,81211,BUSINESS SERVICES NEC,na,na,BUSINESS SERVICES NEC,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198000062R,ACRA,XEBEC SINGAPORE PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1980-01-05,1980-01-05,LOCAL,1,SOPHIA ROAD,05,36,ONE SOPHIA,228149,na,na,na,na,46900,na,na,66121,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198000435H,ACRA,XIANG TAT TRADING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Compulsory Winding Up (Insolvency),1980-02-06,1980-02-06,LOCAL,3014,UBI ROAD 1,03,276,KAMPONG UBI INDUSTRIAL ESTATE,408702,na,na,1997-07-01,1996-02-29,26400,na,na,46436,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198001139E,ACRA,XING YUAN (SINGAPORE) PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,1980-04-07,1980-04-07,LOCAL,7,SOON LEE STREET,02,38,ISPACE,627608,na,na,2025-07-31,2024-05-20,46900,na,na,46100,na,na,39,XING YUAN,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198002824R,ACRA,XL SINGAPORE PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1980-08-06,1980-08-06,LOCAL,112,MIDDLE ROAD,02,03,MIDLAND HOUSE,188970,na,na,1995-08-31,1994-04-30,46900,WHOLES FOODSTUFFS NEC,na,46306,WHOLES FOODSTUFFS NEC,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198004013H,ACRA,XEBEX PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1980-10-30,1980-10-30,LOCAL,7500A,BEACH ROAD,07,308,THE PLAZA,199591,na,na,na,na,46632,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198100852D,ACRA,XIANG MAN LOU FOOD COURT PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1981-03-02,1981-03-02,LOCAL,231,BAIN STREET,01,79,BRAS BASAH COMPLEX,180231,na,na,2006-08-14,2005-04-23,56200,na,na,na,na,na,22,XIANG MAN LOU SEAFOOD & SHARK'S FIN RESTAURANT,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198101409N,ACRA,XIETONG CONSTRUCTION PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1981-04-02,1981-04-02,LOCAL,16,KIM KEAT LANE,na,na,na,328874,na,na,1987-10-31,na,41009,na,na,68101,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198102379E,ACRA,XIN-DE PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1981-05-30,1981-05-30,LOCAL,15,QUEEN STREET,03,06,TAN CHONG TOWER,188537,na,na,1999-01-31,1997-11-18,64201,HOLDING COMPANIES,na,na,HOLDING COMPANIES,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198102688K,ACRA,XHINHUA OVERSEAS PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1981-06-12,1981-06-12,LOCAL,108,LIM AH WOO ROAD,na,na,na,438146,na,na,2010-10-31,2009-07-30,46900,na,na,70102,na,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198102737K,ACRA,XING HE PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1981-06-16,1981-06-16,LOCAL,531,UPPER CROSS STREET,04,42,HONG LIM COMPLEX,050531,na,na,2002-07-31,na,47722,na,na,46900,na,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198102857K,ACRA,XIE YAN PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1981-06-22,1981-06-22,LOCAL,24,PECK SEAH STREET,05,09,NEHSONS BUILDING,079314,na,na,1987-10-17,na,64201,HOLDING COMPANIES,na,na,HOLDING COMPANIES,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198104724W,ACRA,XU & ZHANG PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1981-10-05,1981-10-05,LOCAL,435A,BUKIT TIMAH ROAD,na,na,na,259740,na,na,2003-01-31,na,46900,na,na,46100,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198105031M,ACRA,XENIEM PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1981-10-28,1981-10-28,LOCAL,50,ROBINSON ROAD,09,00,ROBINSON SUITES,068882,na,na,1987-01-31,na,46435,na,na,na,na,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198105340W,ACRA,XQUISIT LEATHER PRODUCTS PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1981-11-17,1981-11-17,LOCAL,10,JALAN BESAR,10,05,SIM LIM TOWER,208787,na,na,1985-05-16,na,46900,na,na,46100,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198200336M,ACRA,XIE RONG PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1982-01-23,1982-01-23,LOCAL,42D,SOUTH BRIDGE ROAD,na,na,na,058676,na,na,1986-10-30,na,68101,na,na,23959,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198200786N,ACRA,XINTAI CONSTRUCTION (PTE) LTD,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1982-03-02,1982-03-02,LOCAL,52,HILLVIEW TERRACE,na,na,na,669271,na,na,1989-07-31,na,42909,na,na,43210,na,na,13,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198200877G,ACRA,XIANGHUA INVESTMENT PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1982-03-08,1982-03-08,LOCAL,272,BALESTIER ROAD,na,na,na,329723,na,na,1988-10-29,1987-06-28,64201,INVESTMENT COMPANIES,na,68101,INVESTMENT COMPANIES,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198200960M,ACRA,XIN HONG FARM PRODUCTS (PTE) LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1982-03-12,1982-03-12,LOCAL,408,ANG MO KIO AVENUE 10,na,na,TECK GHEE SQUARE,560408,na,na,na,na,46302,na,na,47211,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198201724M,ACRA,XAVIER INVESTMENTS PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1982-04-27,1982-04-27,LOCAL,105,DUCHESS AVENUE,na,na,DUCHESS GARDEN,269148,na,na,2001-01-31,na,64201,HOLDING COMPANIES,na,64201,HOLDING COMPANIES,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198201812M,ACRA,X-RAY COMPUTER AND ULTRASOUND CLINIC PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1982-04-30,1982-04-30,LOCAL,339,THOMSON ROAD,na,na,THOMSON MEDICAL CENTRE,307677,na,na,2002-06-19,2001-02-19,86201,na,na,na,na,na,15,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198202152W,ACRA,XINHUA CULTURAL ENTERPRISES (SINGAPORE) PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,1982-05-22,1982-05-22,LOCAL,231,BAIN STREET,02,101,BRAS BASAH COMPLEX,180231,na,na,2026-01-30,2025-01-20,47610,"RETAIL BOOKS, MAGAZINES & STATIONERY",na,na,"RETAIL BOOKS, MAGAZINES & STATIONERY",na,16,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198202936M,ACRA,XIE XING HANG IMPEX PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1982-07-09,1982-07-09,LOCAL,6001,BEDOK RESERVOIR ROAD,04,2300,na,1647,na,na,1984-02-09,na,46900,na,na,46302,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198203440D,ACRA,XIANG MAN LOU INVESTMENT PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1982-08-16,1982-08-16,LOCAL,231,BAIN STREET,01,79,BRAS BASAH COMPLEX,180231,na,na,1986-09-13,1985-05-13,64201,HOLDING COMPANIES,na,na,HOLDING COMPANIES,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198204185C,ACRA,XIN ROU PROPERTIES PTE LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,1982-10-08,1982-10-08,LOCAL,149,ROCHOR ROAD,04,16,FU LU SHOU COMPLEX,188425,na,na,2026-07-31,2025-06-16,68101,na,na,68201,na,na,21,SIN HING HUP KEE,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198204596D,ACRA,XIAN JUN ENTERPRISES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1982-11-05,1982-11-05,LOCAL,200,JALAN SULTAN,na,na,TEXTILE CENTRE,199018,na,na,1987-10-31,1986-06-30,46900,na,na,46100,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198204611C,ACRA,XIANG JIN TRADING PRIVATE LIMITED,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1982-11-05,1982-11-05,LOCAL,1,COLOMBO COURT,08,07,na,179742,na,na,1989-09-05,1988-05-05,46900,na,na,46100,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198204818G,ACRA,XYLEM WATER SOLUTIONS SINGAPORE PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,1982-11-18,1982-11-18,LOCAL,3A,INTERNATIONAL BUSINESS PARK,10,10/18,ICON@IBP,609935,na,na,2025-07-31,2025-04-01,28300,"PRODUCTION, SALE AND RENTAL OF INDUSTRIAL MACHINERY AND RELATED MAINTENANCE",na,71124,"PRODUCTION, SALE AND RENTAL OF INDUSTRIAL MACHINERY AND RELATED MAINTENANCE",na,46,ITT WATER & WASTEWATER SINGAPORE,ITT FLYGT SINGAPORE,SAM MCCOY ENGINEERING,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198300307H,ACRA,XIANG CHENG JEWELLERS PTE LTD,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1983-01-19,1983-01-19,LOCAL,272,BALESTIER ROAD,na,na,na,329723,na,na,1987-10-30,na,47731,na,na,46421,na,na,16,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198301235G,ACRA,XIANG LONG ENGINEERING AND SHIP REPAIRS PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1983-03-18,1983-03-18,LOCAL,304,ORCHARD ROAD,06,23,LUCKY PLAZA,238863,na,na,1989-01-31,1987-12-20,31002,na,na,31001,na,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198302000C,ACRA,XU FENG TECHNOLOGY PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1983-05-04,1983-05-04,LOCAL,50,HAVELOCK ROAD,02,767,THE BEO CRESCENT,160050,na,na,2010-08-31,2009-05-28,46900,na,na,na,na,na,9,RAVEN RESOURCES,SAN CHUAN (IMPEX),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198302839N,ACRA,XIN RONG FA TRADING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1983-06-18,1983-06-18,LOCAL,12,PRINCE EDWARD ROAD,03,03,BESTWAY BUILDING,079212,na,na,2002-09-30,2001-05-30,46900,na,na,na,na,na,11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198303008E,ACRA,XIANG CHENG PROPERTIES PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1983-06-29,1983-06-29,LOCAL,400,ORCHARD ROAD,13,07,ORCHARD TOWERS,238875,na,na,2000-06-25,1999-02-25,64201,INVESTMENT COMPANIES,na,68101,INVESTMENT COMPANIES,na,32,TLF TRADING,Y. CEE CHEMICALS (SINGAPORE),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198303457R,ACRA,XINLI TRADING PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1983-07-21,1983-07-21,LOCAL,48,SIGLAP DRIVE,na,na,FRANKEL ESTATE,456173,na,na,1989-10-31,na,46900,na,na,46100,na,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198304330R,ACRA,XING LOONG INVESTMENT PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1983-09-07,1983-09-07,LOCAL,83,MARINE PARADE CENTRAL,01,580,MARINE PARADE PROMENADE,440083,na,na,2011-10-27,2010-07-26,64201,INVESTMENT COMPANIES,na,na,INVESTMENT COMPANIES,na,8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198305125E,ACRA,XIN FENGNIAN TRADING PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Compulsory Winding Up (Insolvency),1983-10-28,1983-10-28,LOCAL,428,TAGORE INDUSTRIAL AVENUE,na,na,SINDO INDUSTRIAL ESTATE,787809,na,na,2000-10-31,1999-06-30,46900,na,na,46100,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198305247G,ACRA,XIANDAI EQUIPMENT (SINGAPORE) PRIVATE LIMITED,Local Company,na,Private Company Limited by Shares,na,Dissolved - Compulsory Winding Up (Insolvency),1983-11-05,1983-11-05,LOCAL,5,SUNGEI KADUT AVENUE,na,na,YEW TEE INDUSTRIAL ESTATE,729642,na,na,1988-01-31,1986-11-21,46900,na,na,41009,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198305638D,ACRA,XI WAN NIAN EATING HOUSE PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1983-11-28,1983-11-28,LOCAL,2,BALESTIER ROAD,04,697,BALESTIER HILL SHOPPING CENTRE,320002,na,na,1988-07-04,1991-03-01,56111,na,na,56112,na,na,5,BAO JIANN BEAUTY THERAPIST,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198400433C,ACRA,XIAOLONG ENTERPRISE PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1984-02-04,1984-02-04,LOCAL,111,NORTH BRIDGE ROAD,12,01,PENINSULA PLAZA,179098,na,na,1985-09-04,na,21022,MANUF MEDICINAL & PHARMACEUTICAL PRODS,na,20132,MANUF MEDICINAL & PHARMACEUTICAL PRODS,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198400891N,ACRA,XIN YA SHIPPING & TRADING (PTE) LTD,Local Company,na,Private Company Limited by Shares,na,In Liquidation - Creditors voluntary winding up,1984-03-19,1984-03-19,LOCAL,8,MARINA VIEW,40,04/05,ASIA SQUARE TOWER 1,018960,na,na,2020-07-31,2019-06-07,50021,SHIP & BOAT LEASING (INCL CHARTERING),na,50022,SHIP & BOAT LEASING (INCL CHARTERING),na,27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198400893R,ACRA,XIN YING SHIPPING (PTE) LTD,Local Company,na,Private Company Limited by Shares,na,Live Company,1984-03-19,1984-03-19,LOCAL,8,MARINA VIEW,40,04/05,ASIA SQUARE TOWER 1,018960,na,na,2020-07-31,2019-06-07,52222,VESSEL OWNERS AND CHARTERERS,na,52292,VESSEL OWNERS AND CHARTERERS,na,25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198400964D,ACRA,XANADU TRANSPORTATION PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1984-03-24,1984-03-24,LOCAL,50,JALAN SULTAN,16,05,na,198974,na,na,2002-10-31,2001-06-30,52292,na,na,79102,na,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198401090D,ACRA,XI NIAN ENGINEERING PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1984-04-02,1984-04-02,LOCAL,440,WOODLANDS ROAD,na,na,na,2572,na,na,1987-01-31,1985-10-11,42909,RENTAL/LEASING OF INDUST & AGRIC MACHINERY/EQUIP,na,77392,RENTAL/LEASING OF INDUST & AGRIC MACHINERY/EQUIP,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198401370C,ACRA,XIE CHUN TRADING PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,1984-04-19,1984-04-19,LOCAL,4008,DEPOT LANE,01,84,DEPOT LANE INDUSTRIAL ESTATE,109762,na,na,2025-07-31,2024-07-26,46900,na,na,46100,na,na,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198401505R,ACRA,XUN DA TRADING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1984-04-28,1984-04-28,LOCAL,211,HOLLAND AVENUE,03,32,HOLLAND ROAD SHOPPING CENTRE,278967,na,na,1997-08-26,1996-04-26,46411,na,na,46412,na,na,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198401728D,ACRA,XERXES TECHNOLOGIES ASIA PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1984-05-12,1984-05-12,LOCAL,71,JURONG EAST STREET 13,07,01,WESTMERE,609650,na,na,2005-01-31,2007-02-22,46522,na,na,46900,na,na,17,OMNI STRUCTURES,RAYE MONDE TRADING,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198401955W,ACRA,XINLIN ENTERPRISE PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Compulsory Winding Up (Insolvency),1984-05-29,1984-05-29,LOCAL,174,TYRWHITT ROAD,03,176,na,207575,na,na,1987-06-07,1986-02-07,46900,na,na,46100,na,na,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198402179G,ACRA,XIN JI DA TRADING PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Dissolved - Members Voluntary Winding Up,1984-06-14,1984-06-14,LOCAL,10,ANSON ROAD,31,01,INTERNATIONAL PLAZA,079903,na,na,2002-09-09,na,46900,na,na,46100,na,na,14,ENDLESS LOVE RESTAURANT AND COCKTAIL LOUNGE (S),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
198403864W,ACRA,XIN JIN YE RESTAURANT PTE LTD,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,1984-10-31,1984-10-31,LOCAL,24-24A,TANJONG PAGAR ROAD,na,na,na,088447,na,na,2005-09-21,2004-05-27,56111,na,na,na,na,na,16,BIGTIME ENTERTAINMENT,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
