uen,issuance_agency_id,entity_name,entity_type_description,business_constitution_description,company_type_description,paf_constitution_description,entity_status_description,registration_incorporation_date,uen_issue_date,address_type,block,street_name,level_no,unit_no,building_name,postal_code,other_address_line1,other_address_line2,account_due_date,annual_return_date,primary_ssic_code,primary_ssic_description,primary_user_described_activity,secondary_ssic_code,secondary_ssic_description,secondary_user_described_activity,no_of_officers,former_entity_name1,former_entity_name2,former_entity_name3,former_entity_name4,former_entity_name5,former_entity_name6,former_entity_name7,former_entity_name8,former_entity_name9,former_entity_name10,former_entity_name11,former_entity_name12,former_entity_name13,former_entity_name14,former_entity_name15,uen_of_audit_firm1,name_of_audit_firm1,uen_of_audit_firm2,name_of_audit_firm2,uen_of_audit_firm3,name_of_audit_firm3,uen_of_audit_firm4,name_of_audit_firm4,uen_of_audit_firm5,name_of_audit_firm5
200907917E,ACRA,XIN GE PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-05,2009-05-05,LOCAL,101,GEYLANG ROAD,na,na,na,389211,na,na,2012-01-31,2011-11-15,56122,FOOD SHOP,na,56200,FOOD SHOP,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200908326R,ACRA,XORETTE SPECIALTIES (PTE. LTD.),Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-12,2009-05-12,LOCAL,133,CECIL STREET,16,01,KECK SENG TOWER,069535,na,na,2014-01-31,2012-10-29,46900,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200908525N,ACRA,XIN WANG CONSTRUCTION PTE. LTD.,Local Company,na,Private Company Limited by Shares,na,Live Company,2009-05-14,2009-05-14,LOCAL,280,WOODLANDS INDUSTRIAL PARK E5,04,04,HARVEST @ WOODLANDS,757322,na,na,2025-11-30,2024-10-28,43909,OTHER SPECIALISED CONSTRUCTION AND RELATED ACTIVITIES N.E.C.,na,71121,OTHER SPECIALISED CONSTRUCTION AND RELATED ACTIVITIES N.E.C.,na,7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200908729G,ACRA,XINSHA RESOURCES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-18,2009-05-18,LOCAL,140,PAYA LEBAR ROAD,06,10,AZ @ PAYA LEBAR,409015,na,na,2018-10-31,2017-07-25,46900,MINERAL COMMODITIES AND GENERAL IMPORTER AND EXPORTER,na,08900,MINERAL COMMODITIES AND GENERAL IMPORTER AND EXPORTER,na,6,STANFORD SHIPPING,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200908733N,ACRA,XPONDE ASIA PACIFIC PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Live Company,2009-05-18,2009-05-18,LOCAL,8,UBI ROAD 2,05,19,ZERVEX,408538,na,na,2025-07-31,2024-07-31,46900,na,na,71129,na,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200909131C,ACRA,XINGDA ENGINEERING PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-23,2009-05-23,LOCAL,1036,EUNOS AVENUE 4,01,58,EUNOS INDUSTRIAL ESTATE,409790,na,na,2016-01-31,2015-05-30,43210,ELECTRICAL AND MECHANICAL  ENGINEERING WORKS,na,43301,ELECTRICAL AND MECHANICAL  ENGINEERING WORKS,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200909289G,ACRA,XIANG XUE HAI PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-26,2009-05-26,LOCAL,1,SOPHIA ROAD,07,09,ONE SOPHIA,228149,na,na,2012-01-31,2010-11-16,56111,na,na,na,na,na,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200909357C,ACRA,XCEED RESOURCES PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-27,2009-05-27,LOCAL,16,DUNEARN ROAD,19,02,na,309420,na,na,2015-01-31,2013-10-30,70201,na,na,46900,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200909544E,ACRA,XE SOLUTIONS PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-05-28,2009-05-28,LOCAL,80,RAFFLES PLACE,25,01,UOB PLAZA,048624,na,na,2010-12-29,na,96099,DESIGN AND MANUFACTURE OF FLASH LAMP AND SUBSYSTEMS,na,na,DESIGN AND MANUFACTURE OF FLASH LAMP AND SUBSYSTEMS,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
200909802R,ACRA,XENN ASIA PTE. LTD.,Local Company,na,Exempt Private Company Limited by Shares,na,Struck Off,2009-06-02,2009-06-02,LOCAL,33,UBI AVENUE 3,05,24,VERTEX,408868,na,na,2016-01-31,2014-10-17,47109,GENERAL MERCHANISE STORE,na,46900,GENERAL MERCHANISE STORE,na,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
