agency_raw,agency_clean,agency_parent,agency_child,changed,had_double_spaces,had_dash,was_exception,was_split
Ministry of Finance - Singapore Customs,Ministry of Finance - Singapore Customs,Ministry of Finance,Singapore Customs,False,False,False,False,True
Ministry of Finance-Accountant-General's Department,Ministry of Finance-Accountant-General's Department,Ministry of Finance-Accountant-General's Department,,False,False,True,False,False
Enterprise Singapore,Enterprise Singapore,Enterprise Singapore,,False,False,False,False,False
Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,Ministry of Sustainability and the Environment,,False,False,False,False,False
Energy Market Authority of Singapore,Energy Market Authority of Singapore,Energy Market Authority of Singapore,,False,False,False,False,False
Economic Development Board,Economic Development Board,Economic Development Board,,False,False,False,False,False
Singapore Examinations and Assessment Board,Singapore Examinations and Assessment Board,Singapore Examinations and Assessment Board,,False,False,False,False,False
Defence Science and Technology Agency,Defence Science and Technology Agency,Defence Science and Technology Agency,,False,False,False,False,False
Ministry of Defence,Ministry of Defence,Ministry of Defence,,False,False,False,False,False
Gambling Regulatory Authority of Singapore (GRA),Gambling Regulatory Authority of Singapore (GRA),Gambling Regulatory Authority of Singapore (GRA),,False,False,False,False,False
Government Technology Agency  (GovTech),Government Technology Agency  (GovTech),Government Technology Agency  (GovTech),,False,True,False,False,False
Central Provident Fund Board,Central Provident Fund Board,Central Provident Fund Board,,False,False,False,False,False
Ministry of Transport - Ministry Headquarter,Ministry of Transport - Ministry Headquarter,Ministry of Transport,Ministry Headquarter,False,False,False,False,True
Council for Estate Agencies,Council for Estate Agencies,Council for Estate Agencies,,False,False,False,False,False
Ministry of Social and Family Development - Ministry Headquarter,Ministry of Social and Family Development - Ministry Headquarter,Ministry of Social and Family Development,Ministry Headquarter,False,False,False,False,True
"Ministry of Culture, Community and Youth - National Youth Council","Ministry of Culture, Community and Youth - National Youth Council","Ministry of Culture, Community and Youth",National Youth Council,False,False,False,False,True
"Ministry of Culture, Community and Youth - Ministry Headquarter","Ministry of Culture, Community and Youth - Ministry Headquarter","Ministry of Culture, Community and Youth",Ministry Headquarter,False,False,False,False,True
Competition and Consumer Commission of Singapore (CCCS),Competition and Consumer Commission of Singapore (CCCS),Competition and Consumer Commission of Singapore (CCCS),,False,False,False,False,False
Civil Aviation Authority of Singapore,Civil Aviation Authority of Singapore,Civil Aviation Authority of Singapore,,False,False,False,False,False
Board of Architects,Board of Architects,Board of Architects,,False,False,False,False,False
Building and Construction Authority,Building and Construction Authority,Building and Construction Authority,,False,False,False,False,False
Auditor-General's Office,Auditor-General's Office,Auditor-General's Office,,False,False,True,False,False
Ministry of Foreign Affairs,Ministry of Foreign Affairs,Ministry of Foreign Affairs,,False,False,False,False,False
Housing and Development Board,Housing and Development Board,Housing and Development Board,,False,False,False,False,False
Ministry of Home Affairs - Ministry Headquarter 1,Ministry of Home Affairs - Ministry Headquarter 1,Ministry of Home Affairs,Ministry Headquarter 1,False,False,False,False,True
Inland Revenue Authority of Singapore,Inland Revenue Authority of Singapore,Inland Revenue Authority of Singapore,,False,False,False,False,False
Info-communications Media Development Authority - MDA,Info-communications Media Development Authority - MDA,Info-communications Media Development Authority,MDA,False,False,True,False,True
Monetary Authority of Singapore,Monetary Authority of Singapore,Monetary Authority of Singapore,,False,False,False,False,False
Land Transport Authority,Land Transport Authority,Land Transport Authority,,False,False,False,False,False
Ministry of Law-Ministry Headquarter,Ministry of Law-Ministry Headquarter,Ministry of Law-Ministry Headquarter,,False,False,True,False,False
Judiciary-Supreme Court,Judiciary-Supreme Court,Judiciary-Supreme Court,,False,False,True,False,False
Judiciary-State Courts,Judiciary-State Courts,Judiciary-State Courts,,False,False,True,False,False
Jurong Town Corporation,Jurong Town Corporation,Jurong Town Corporation,,False,False,False,False,False
Institute of Technical Education,Institute of Technical Education,Institute of Technical Education,,False,False,False,False,False
Ministry of Digital Development and Information,Ministry of Digital Development and Information,Ministry of Digital Development and Information,,False,False,False,False,False
Istana,Istana,Istana,,False,False,False,False,False
ISEAS - Yusof Ishak Institute,ISEAS - Yusof Ishak Institute,ISEAS - Yusof Ishak Institute,,False,False,False,True,False
Intellectual Property Office of Singapore,Intellectual Property Office of Singapore,Intellectual Property Office of Singapore,,False,False,False,False,False
Ministry of Health-Ministry Headquarter,Ministry of Health-Ministry Headquarter,Ministry of Health-Ministry Headquarter,,False,False,True,False,False
Singapore Chinese Girls' School,Singapore Chinese Girls' School,Singapore Chinese Girls' School,,False,False,False,False,False
Northlight School,Northlight School,Northlight School,,False,False,False,False,False
Methodist Girls' School (Secondary),Methodist Girls' School (Secondary),Methodist Girls' School (Secondary),,False,False,False,False,False
Hwa Chong Institution,Hwa Chong Institution,Hwa Chong Institution,,False,False,False,False,False
Assumption Pathway School,Assumption Pathway School,Assumption Pathway School,,False,False,False,False,False
Anglo-Chinese School (Independent)	,Anglo-Chinese School (Independent)	,Anglo-Chinese School (Independent)	,,False,False,True,False,False
Info-communications Media Development Authority,Info-communications Media Development Authority,Info-communications Media Development Authority,,False,False,True,False,False
Home Team Science and Technology Agency,Home Team Science and Technology Agency,Home Team Science and Technology Agency,,False,False,False,False,False
Health Sciences Authority,Health Sciences Authority,Health Sciences Authority,,False,False,False,False,False
Health Promotion Board,Health Promotion Board,Health Promotion Board,,False,False,False,False,False
Ministry of Home Affairs-Ministry Headquarter,Ministry of Home Affairs-Ministry Headquarter,Ministry of Home Affairs-Ministry Headquarter,,False,False,True,False,False
Workforce Singapore,Workforce Singapore,Workforce Singapore,,False,False,False,False,False
